X,CH1,CH2,CH3,Start,Increment,
Sequence,Volt,Volt,Volt,-1.198000e+00,2.000000e-03
0,-8.00e-03,-4.80e-02,8.00e+00,
1,-4.00e-02,-8.00e-02,1.00e+01,
2,-4.80e-02,-4.80e-02,8.00e+00,
3,-8.00e-03,-8.80e-02,1.20e+01,
4,-1.60e-02,-4.80e-02,1.20e+01,
5,-4.80e-02,-1.04e-01,8.00e+00,
6,-1.60e-02,-5.60e-02,1.20e+01,
7,-5.60e-02,-8.80e-02,1.00e+01,
8,-4.80e-02,-8.80e-02,1.00e+01,
9,-1.60e-02,-4.80e-02,1.20e+01,
10,-1.60e-02,-8.80e-02,1.00e+01,
11,-5.60e-02,-4.00e-02,1.40e+01,
12,-5.60e-02,-8.80e-02,1.00e+01,
13,-8.00e-03,-4.80e-02,1.40e+01,
14,-5.60e-02,-8.80e-02,1.40e+01,
15,-2.40e-02,-4.80e-02,1.20e+01,
16,-2.40e-02,-8.00e-02,1.40e+01,
17,-6.40e-02,-4.80e-02,1.20e+01,
18,-2.40e-02,-8.00e-02,1.40e+01,
19,-7.20e-02,-4.80e-02,1.20e+01,
20,-3.20e-02,-4.00e-02,1.40e+01,
21,-7.20e-02,-8.00e-02,1.20e+01,
22,-8.00e-03,-4.00e-02,1.20e+01,
23,-7.20e-02,-8.80e-02,1.40e+01,
24,-7.20e-02,-7.20e-02,1.40e+01,
25,-1.60e-02,-2.40e-02,1.20e+01,
26,-2.40e-02,-3.20e-02,1.40e+01,
27,-7.20e-02,-7.20e-02,1.20e+01,
28,-3.20e-02,-3.20e-02,1.40e+01,
29,-7.20e-02,-6.40e-02,1.20e+01,
30,-3.20e-02,-3.20e-02,1.40e+01,
31,-8.00e-02,-6.40e-02,1.00e+01,
32,-3.20e-02,-5.60e-02,1.40e+01,
33,-8.00e-02,-2.40e-02,1.00e+01,
34,-8.00e-02,-5.60e-02,1.00e+01,
35,-3.20e-02,-8.00e-03,1.20e+01,
36,-8.00e-02,-4.80e-02,1.20e+01,
37,-3.20e-02,-8.00e-03,8.00e+00,
38,-8.00e-02,-4.80e-02,8.00e+00,
39,-3.20e-02,0.00e+00,1.20e+01,
40,-8.00e-02,0.00e+00,8.00e+00,
41,-3.20e-02,-4.00e-02,1.00e+01,
42,-3.20e-02,-3.20e-02,1.00e+01,
43,-8.00e-02,8.00e-03,6.00e+00,
44,-7.20e-02,-1.60e-02,6.00e+00,
45,-2.40e-02,1.60e-02,1.00e+01,
46,-3.20e-02,-8.00e-03,8.00e+00,
47,-7.20e-02,2.40e-02,2.00e+00,
48,-3.20e-02,-8.00e-03,8.00e+00,
49,-8.00e-02,2.40e-02,4.00e+00,
50,-3.20e-02,3.20e-02,4.00e+00,
51,-7.20e-02,0.00e+00,0.00e+00,
52,-2.40e-02,4.80e-02,0.00e+00,
53,-6.40e-02,8.00e-03,4.00e+00,
54,-7.20e-02,1.60e-02,2.00e+00,
55,-2.40e-02,5.60e-02,-2.00e+00,
56,-2.40e-02,2.40e-02,2.00e+00,
57,-6.40e-02,5.60e-02,-2.00e+00,
58,-5.60e-02,5.60e-02,0.00e+00,
59,-1.60e-02,2.40e-02,-4.00e+00,
60,-1.60e-02,3.20e-02,-4.00e+00,
61,-5.60e-02,5.60e-02,-2.00e+00,
62,-5.60e-02,3.20e-02,-2.00e+00,
63,0.00e+00,6.40e-02,-6.00e+00,
64,0.00e+00,4.00e-02,-6.00e+00,
65,-4.00e-02,7.20e-02,-4.00e+00,
66,-3.20e-02,8.80e-02,-4.00e+00,
67,8.00e-03,4.80e-02,-1.00e+01,
68,-3.20e-02,4.80e-02,-8.00e+00,
69,1.60e-02,7.20e-02,-1.20e+01,
70,-2.40e-02,4.00e-02,-8.00e+00,
71,2.40e-02,8.00e-02,-1.20e+01,
72,-8.00e-03,9.60e-02,-1.00e+01,
73,3.20e-02,4.80e-02,-1.20e+01,
74,3.20e-02,8.80e-02,-1.00e+01,
75,-1.60e-02,4.80e-02,-1.40e+01,
76,0.00e+00,8.80e-02,-1.40e+01,
77,4.80e-02,4.80e-02,-1.20e+01,
78,8.00e-03,4.80e-02,-1.20e+01,
79,4.80e-02,8.80e-02,-1.60e+01,
80,5.60e-02,4.80e-02,-1.20e+01,
